Lista de Productos;;;;;
Montos en USD a la tasa 213,373.00;;;;;
Código;Descripción;Costo;Precio;Costo USD;Precio USD
1527657;CARNE PRIMERA pK;0.00;1,785.71;0.00;0.01
2022031;CARNE LOMITO EMP VAC pK;0.00;1,428.57;0.00;0.01
2022032;CARNE PUNTA TRASERA EMP VAC pK;0.00;1,428.57;0.00;0.01
2022033;CARNE SOLOMO ABIERTO EMP VAC pK;0.00;1,428.57;0.00;0.01
2021551;PERNIL CHIVO pK;0.00;1,361.80;0.00;0.01
2021552;COSTILLA CHIVO pK;0.00;1,078.09;0.00;0.01
2022038;CARNE GANZO EMP VAC pK;0.00;1,000.00;0.00;0.00
2021537;CHIVO CANAL pK;0.00;685.71;0.00;0.00
2021538;CORDERO CANAL pK;0.00;685.71;0.00;0.00
2021553;HUESO CHIVO pK;0.00;340.44;0.00;0.00
1005568;CARNE GUISAR CHOCOZUELA pK;0.00;285.00;0.00;0.00
1512110;COSTILLITA MOQUEO AHUMADA pK;0.00;267.86;0.00;0.00
1005485;PALETA ESPECIAL NAVIDEnA pK;0.00;257.14;0.00;0.00
1512111;PATICAS MOQUEO AHUMADA pK;0.00;131.03;0.00;0.00
1005562;CARNE MECHAR PRIMERA pK;64.14;90.00;0.00;0.00
1032476;CARNE SOBREBARRIGA pK;63.67;90.00;0.00;0.00
1005565;HUESO ROJO pK;25.00;89.50;0.00;0.00
1005564;PATAS RES BAND pK;0.00;80.00;0.00;0.00
1529705;CARNE LOMITO IMPORTADO pK;0.00;76.00;0.00;0.00
1523578;CARNE PULPA NEGRA EMPAC AL VACIO  ZADM;0.00;47.87;0.00;0.00
1513860;LOMITO PLUMROSE RES IMPORTADO pK;0.00;42.67;0.00;0.00
1403807;OSOBUCO ESPECIAL pK;0.00;32.00;0.00;0.00
1513859;SOLOMO PLUMROSE CUERITO IMPORTADO pK;0.00;29.33;0.00;0.00
1523577;CARNE GANZO EMPAC AL VACIO pK ZADM;0.00;26.67;0.00;0.00
1403285;GRASA RECICLADA pK;0.00;10.00;0.00;0.00
2012588;CONEJO KOVANA ENT BENEFIC pK;0.00;8.57;0.00;0.00
2018646;HUESO AHUMADO pK;0.00;7.07;0.00;0.00
1004074;LOMO CERDO nSALSA pK;0.00;6.79;0.00;0.00
1403811;CARNE SEGUNDA MOLIDA pK;0.00;6.00;0.00;0.00
1001614;GRASA RECICLADA pK;0.00;5.00;0.00;0.00
2001612;CARNE LOMO dAGUJA pK;0.00;4.12;0.00;0.00
2004031;PALETA CERDO pK;0.00;3.07;0.00;0.00
1403011;TOCINO DE CERDO sPIEL pK;0.00;2.86;0.00;0.00
1005552;CALLO RES BAND pK;0.00;1.20;0.00;0.00
1005553;LENGUA RES BANDEJA pK;0.00;1.20;0.00;0.00
1005563;HIGADO RES BAND pK;0.00;1.20;0.00;0.00
1032480;CORAZON RES pK;0.00;1.20;0.00;0.00
1005578;BOFE BANDEJA pK;0.00;0.92;0.00;0.00
1023287;PAJARILLA pK;0.00;0.92;0.00;0.00
1511924;RInON RES pK;0.00;0.92;0.00;0.00
1006418;SOLOMO CUERITO MOLIDO pK;0.00;0.72;0.00;0.00
1005569;CARNE BISTECK ESPECIAL BANDEJA pK;0.00;0.65;0.00;0.00
1402597;CARNE BISTECK pPARRILLA ESPEC pK;0.00;0.60;0.00;0.00
2013469;HUESO ROJO CERDO pK;0.00;0.54;0.00;0.00
1005617;MERMA PK;0.15;0.50;0.00;0.00
1005603;PINCHO ESPECIAL GARZON pK;0.00;0.29;0.00;0.00
2011245;PINCHO ESPECIAL GARZON pK;0.00;0.29;0.00;0.00
1004081;CHULETA HERMO AHUM pK;0.00;0.16;0.00;0.00
1525242;COSTILLA MOQUEO pK;0.00;0.14;0.00;0.00
1512620;SOLOMO EMPACADO AL VACIO pK;0.00;0.12;0.00;0.00
2012895;PUNTA TRASERA EMPACADO AL VACIO pK;0.00;0.12;0.00;0.00
1005476;PALETA CERDO pK NO USAR;0.00;0.10;0.00;0.00
2010656;PUNTA PLUMROSE TRASERA dCERDO pK;0.00;0.10;0.00;0.00
2009274;SOLOMO PORTO NOVO dRES URUGUAYO pK;0.00;0.09;0.00;0.00
2013468;COSTILLA COCHINO 4UND EMP AL VACIO pK;0.00;0.09;0.00;0.00
1005543;CARNE GANZO BISTECK pK;0.00;0.08;0.00;0.00
1010573;PULPA CERDO pK;0.00;0.08;0.00;0.00
2001887;LOMITO PLUMROSE dCERDO PK;0.00;0.08;0.00;0.00
2009247;LOMO PORTO NOVO dCONEJO pK;0.00;0.08;0.00;0.00
2009224;CHULETA PORTO NOVO LOMO CORDERO pK;0.00;0.07;0.00;0.00
2009227;CONEJO PORTO NOVO pK;0.00;0.07;0.00;0.00
2009243;LOMITO PORTO NOVO dCERDO pK;0.00;0.07;0.00;0.00
1005574;CARNE BISTECK ALINADA pK;0.00;0.06;0.00;0.00
2008976;LOMO MEIST AHUMADO pK;0.00;0.06;0.00;0.00
2009268;PIERNA PORTO NOVO dCORDERO RUEDA pK;0.00;0.06;0.00;0.00
1005605;LOMITO AGUJA pK;0.00;0.05;0.00;0.00
1518407;COSTILLA PORCIVEN AHUMADA pK;0.00;0.05;0.00;0.00
2008756;PERNIL TIO COCHINO dCOCHINO pK;0.00;0.05;0.00;0.00
2008761;LECHON TIO COCHINO ENTERO pK;0.00;0.05;0.00;0.00
